timestamp: Fri Feb 15 00:40:51 EST 2019
rank,test,barrier,time
rank 2, test 6, use_barrier 1time in seconds: 0.085510, (use_barrier: 1, ranks: ./a.out)
rank 2, test 7, use_barrier 0time in seconds: 0.088992, (use_barrier: 0, ranks: ./a.out)
rank 2, test 7, use_barrier 1time in seconds: 0.088239, (use_barrier: 1, ranks: ./a.out)
rank 4, test 1, use_barrier 0time in seconds: 0.049745, (use_barrier: 0, ranks: ./a.out)
rank 4, test 1, use_barrier 1time in seconds: 0.058999, (use_barrier: 1, ranks: ./a.out)
rank 4, test 2, use_barrier 0time in seconds: 0.047293, (use_barrier: 0, ranks: ./a.out)
rank 4, test 2, use_barrier 1time in seconds: 0.057680, (use_barrier: 1, ranks: ./a.out)
rank 4, test 3, use_barrier 0time in seconds: 0.046661, (use_barrier: 0, ranks: ./a.out)
rank 4, test 3, use_barrier 1time in seconds: 0.051998, (use_barrier: 1, ranks: ./a.out)
rank 4, test 4, use_barrier 0time in seconds: 0.045759, (use_barrier: 0, ranks: ./a.out)
rank 4, test 4, use_barrier 1time in seconds: 0.050279, (use_barrier: 1, ranks: ./a.out)
rank 4, test 5, use_barrier 0time in seconds: 0.049518, (use_barrier: 0, ranks: ./a.out)
rank 4, test 5, use_barrier 1time in seconds: 0.051352, (use_barrier: 1, ranks: ./a.out)
rank 4, test 6, use_barrier 0time in seconds: 0.043181, (use_barrier: 0, ranks: ./a.out)
rank 4, test 6, use_barrier 1time in seconds: 0.057307, (use_barrier: 1, ranks: ./a.out)
rank 4, test 7, use_barrier 0time in seconds: 0.054843, (use_barrier: 0, ranks: ./a.out)
rank 4, test 7, use_barrier 1time in seconds: 0.049980, (use_barrier: 1, ranks: ./a.out)
rank 8, test 1, use_barrier 0time in seconds: 0.025486, (use_barrier: 0, ranks: ./a.out)
rank 8, test 1, use_barrier 1time in seconds: 0.032898, (use_barrier: 1, ranks: ./a.out)
rank 8, test 2, use_barrier 0time in seconds: 0.026765, (use_barrier: 0, ranks: ./a.out)
