timestamp: Fri Feb 15 22:23:29 EST 2019
rank 2, test 7, use_barrier 1 time in seconds: 0.245049, (use_barrier: 1, ranks: ./a.out)
rank 4, test 1, use_barrier 0 time in seconds: 0.230376, (use_barrier: 0, ranks: ./a.out)
rank 4, test 1, use_barrier 1 time in seconds: 0.226718, (use_barrier: 1, ranks: ./a.out)
rank 4, test 2, use_barrier 0 time in seconds: 0.205356, (use_barrier: 0, ranks: ./a.out)
rank 4, test 2, use_barrier 1 time in seconds: 0.208810, (use_barrier: 1, ranks: ./a.out)
rank 4, test 3, use_barrier 0 time in seconds: 0.210834, (use_barrier: 0, ranks: ./a.out)
rank 4, test 3, use_barrier 1 time in seconds: 0.212791, (use_barrier: 1, ranks: ./a.out)
rank 4, test 4, use_barrier 0 time in seconds: 0.220189, (use_barrier: 0, ranks: ./a.out)
rank 4, test 4, use_barrier 1 time in seconds: 0.218143, (use_barrier: 1, ranks: ./a.out)
rank 4, test 5, use_barrier 0 time in seconds: 0.204138, (use_barrier: 0, ranks: ./a.out)
rank 4, test 5, use_barrier 1 time in seconds: 0.212009, (use_barrier: 1, ranks: ./a.out)
rank 4, test 6, use_barrier 0 time in seconds: 0.235014, (use_barrier: 0, ranks: ./a.out)
rank 4, test 6, use_barrier 1 time in seconds: 0.223901, (use_barrier: 1, ranks: ./a.out)
rank 4, test 7, use_barrier 0 time in seconds: 0.227643, (use_barrier: 0, ranks: ./a.out)
rank 4, test 7, use_barrier 1 time in seconds: 0.231730, (use_barrier: 1, ranks: ./a.out)
rank 8, test 1, use_barrier 0 time in seconds: 0.225231, (use_barrier: 0, ranks: ./a.out)
rank 8, test 1, use_barrier 1 time in seconds: 0.265495, (use_barrier: 1, ranks: ./a.out)
rank 8, test 2, use_barrier 0 time in seconds: 0.200217, (use_barrier: 0, ranks: ./a.out)
rank 8, test 2, use_barrier 1 time in seconds: 0.198498, (use_barrier: 1, ranks: ./a.out)
rank 8, test 3, use_barrier 0 time in seconds: 0.186443, (use_barrier: 0, ranks: ./a.out)
rank 8, test 3, use_barrier 1 time in seconds: 0.251765, (use_barrier: 1, ranks: ./a.out)
rank 8, test 4, use_barrier 0 time in seconds: 0.236194, (use_barrier: 0, ranks: ./a.out)
rank 8, test 4, use_barrier 1 time in seconds: 0.250243, (use_barrier: 1, ranks: ./a.out)
rank 8, test 5, use_barrier 0 time in seconds: 0.207296, (use_barrier: 0, ranks: ./a.out)
rank 8, test 5, use_barrier 1 time in seconds: 0.211173, (use_barrier: 1, ranks: ./a.out)
rank 8, test 6, use_barrier 0 time in seconds: 0.254347, (use_barrier: 0, ranks: ./a.out)
rank 8, test 6, use_barrier 1 time in seconds: 0.238861, (use_barrier: 1, ranks: ./a.out)
rank 8, test 7, use_barrier 0 time in seconds: 0.249693, (use_barrier: 0, ranks: ./a.out)
rank 8, test 7, use_barrier 1 time in seconds: 0.216791, (use_barrier: 1, ranks: ./a.out)
rank 16, test 1, use_barrier 0 time in seconds: 0.218676, (use_barrier: 0, ranks: ./a.out)
rank 16, test 1, use_barrier 1 time in seconds: 0.253701, (use_barrier: 1, ranks: ./a.out)
rank 16, test 2, use_barrier 0 time in seconds: 0.184422, (use_barrier: 0, ranks: ./a.out)
rank 16, test 2, use_barrier 1 time in seconds: 0.179584, (use_barrier: 1, ranks: ./a.out)
rank 16, test 3, use_barrier 0 time in seconds: 0.191603, (use_barrier: 0, ranks: ./a.out)
rank 16, test 3, use_barrier 1 time in seconds: 0.246777, (use_barrier: 1, ranks: ./a.out)
rank 16, test 4, use_barrier 0 time in seconds: 0.232581, (use_barrier: 0, ranks: ./a.out)
rank 16, test 4, use_barrier 1 time in seconds: 0.211251, (use_barrier: 1, ranks: ./a.out)
rank 16, test 5, use_barrier 0 time in seconds: 0.180814, (use_barrier: 0, ranks: ./a.out)
rank 16, test 5, use_barrier 1 time in seconds: 0.241059, (use_barrier: 1, ranks: ./a.out)
rank 16, test 6, use_barrier 0 time in seconds: 0.211544, (use_barrier: 0, ranks: ./a.out)
rank 16, test 6, use_barrier 1 time in seconds: 0.220657, (use_barrier: 1, ranks: ./a.out)
rank 16, test 7, use_barrier 0 time in seconds: 0.161577, (use_barrier: 0, ranks: ./a.out)
rank 16, test 7, use_barrier 1 time in seconds: 0.263802, (use_barrier: 1, ranks: ./a.out)
rank 32, test 1, use_barrier 0 time in seconds: 0.242832, (use_barrier: 0, ranks: ./a.out)
rank 32, test 1, use_barrier 1 time in seconds: 0.241222, (use_barrier: 1, ranks: ./a.out)
rank 32, test 2, use_barrier 0 time in seconds: 0.172013, (use_barrier: 0, ranks: ./a.out)
rank 32, test 2, use_barrier 1 time in seconds: 0.151037, (use_barrier: 1, ranks: ./a.out)
rank 32, test 3, use_barrier 0 time in seconds: 0.233867, (use_barrier: 0, ranks: ./a.out)
rank 32, test 3, use_barrier 1 time in seconds: 0.220396, (use_barrier: 1, ranks: ./a.out)
rank 32, test 4, use_barrier 0 time in seconds: 0.177198, (use_barrier: 0, ranks: ./a.out)
rank 32, test 4, use_barrier 1 time in seconds: 0.208810, (use_barrier: 1, ranks: ./a.out)
rank 32, test 5, use_barrier 0 time in seconds: 0.194446, (use_barrier: 0, ranks: ./a.out)
rank 32, test 5, use_barrier 1 time in seconds: 0.245764, (use_barrier: 1, ranks: ./a.out)
rank 32, test 6, use_barrier 0 time in seconds: 0.248667, (use_barrier: 0, ranks: ./a.out)
rank 32, test 6, use_barrier 1 time in seconds: 0.225991, (use_barrier: 1, ranks: ./a.out)
rank 32, test 7, use_barrier 0 time in seconds: 0.257928, (use_barrier: 0, ranks: ./a.out)
rank 32, test 7, use_barrier 1 time in seconds: 0.182791, (use_barrier: 1, ranks: ./a.out)
rank 1, test 1, use_barrier 0 time in seconds: 0.300952, (use_barrier: 0, ranks: ./a.out)
rank 1, test 1, use_barrier 1 time in seconds: 0.300505, (use_barrier: 1, ranks: ./a.out)
rank 1, test 2, use_barrier 0 time in seconds: 0.288428, (use_barrier: 0, ranks: ./a.out)
rank 1, test 2, use_barrier 1 time in seconds: 0.292463, (use_barrier: 1, ranks: ./a.out)
rank 1, test 3, use_barrier 0 time in seconds: 0.289290, (use_barrier: 0, ranks: ./a.out)
rank 1, test 3, use_barrier 1 time in seconds: 0.291180, (use_barrier: 1, ranks: ./a.out)
rank 1, test 4, use_barrier 0 time in seconds: 0.296739, (use_barrier: 0, ranks: ./a.out)
rank 1, test 4, use_barrier 1 time in seconds: 0.287355, (use_barrier: 1, ranks: ./a.out)
rank 1, test 5, use_barrier 0 time in seconds: 0.298619, (use_barrier: 0, ranks: ./a.out)
rank 1, test 5, use_barrier 1 time in seconds: 0.291720, (use_barrier: 1, ranks: ./a.out)
rank 1, test 6, use_barrier 0 time in seconds: 0.320926, (use_barrier: 0, ranks: ./a.out)
rank 1, test 6, use_barrier 1 time in seconds: 0.306956, (use_barrier: 1, ranks: ./a.out)
rank 1, test 7, use_barrier 0 time in seconds: 0.304509, (use_barrier: 0, ranks: ./a.out)
rank 1, test 7, use_barrier 1 time in seconds: 0.301690, (use_barrier: 1, ranks: ./a.out)
rank 2, test 1, use_barrier 0 time in seconds: 0.247210, (use_barrier: 0, ranks: ./a.out)
rank 2, test 1, use_barrier 1 time in seconds: 0.243733, (use_barrier: 1, ranks: ./a.out)
rank 2, test 2, use_barrier 0 time in seconds: 0.226294, (use_barrier: 0, ranks: ./a.out)
rank 2, test 2, use_barrier 1 time in seconds: 0.231918, (use_barrier: 1, ranks: ./a.out)
rank 2, test 3, use_barrier 0 time in seconds: 0.228743, (use_barrier: 0, ranks: ./a.out)
rank 2, test 3, use_barrier 1 time in seconds: 0.225329, (use_barrier: 1, ranks: ./a.out)
rank 2, test 4, use_barrier 0 time in seconds: 0.234592, (use_barrier: 0, ranks: ./a.out)
rank 2, test 4, use_barrier 1 time in seconds: 0.238339, (use_barrier: 1, ranks: ./a.out)
rank 2, test 5, use_barrier 0 time in seconds: 0.228664, (use_barrier: 0, ranks: ./a.out)
rank 2, test 5, use_barrier 1 time in seconds: 0.229562, (use_barrier: 1, ranks: ./a.out)
rank 2, test 6, use_barrier 0 time in seconds: 0.240128, (use_barrier: 0, ranks: ./a.out)
rank 2, test 6, use_barrier 1 time in seconds: 0.246339, (use_barrier: 1, ranks: ./a.out)
rank 2, test 7, use_barrier 0 time in seconds: 0.249463, (use_barrier: 0, ranks: ./a.out)
rank 2, test 7, use_barrier 1 time in seconds: 0.246933, (use_barrier: 1, ranks: ./a.out)
rank 4, test 1, use_barrier 0 time in seconds: 0.231263, (use_barrier: 0, ranks: ./a.out)
rank 4, test 1, use_barrier 1 time in seconds: 0.204365, (use_barrier: 1, ranks: ./a.out)
rank 4, test 2, use_barrier 0 time in seconds: 0.215173, (use_barrier: 0, ranks: ./a.out)
rank 4, test 2, use_barrier 1 time in seconds: 0.213190, (use_barrier: 1, ranks: ./a.out)
rank 4, test 3, use_barrier 0 time in seconds: 0.204397, (use_barrier: 0, ranks: ./a.out)
rank 4, test 3, use_barrier 1 time in seconds: 0.203096, (use_barrier: 1, ranks: ./a.out)
rank 4, test 4, use_barrier 0 time in seconds: 0.218317, (use_barrier: 0, ranks: ./a.out)
rank 4, test 4, use_barrier 1 time in seconds: 0.222296, (use_barrier: 1, ranks: ./a.out)
rank 4, test 5, use_barrier 0 time in seconds: 0.204736, (use_barrier: 0, ranks: ./a.out)
rank 4, test 5, use_barrier 1 time in seconds: 0.214171, (use_barrier: 1, ranks: ./a.out)
rank 4, test 6, use_barrier 0 time in seconds: 0.221776, (use_barrier: 0, ranks: ./a.out)
rank 4, test 6, use_barrier 1 time in seconds: 0.223517, (use_barrier: 1, ranks: ./a.out)
rank 4, test 7, use_barrier 0 time in seconds: 0.232175, (use_barrier: 0, ranks: ./a.out)
rank 4, test 7, use_barrier 1 time in seconds: 0.225350, (use_barrier: 1, ranks: ./a.out)
rank 8, test 1, use_barrier 0 time in seconds: 0.249133, (use_barrier: 0, ranks: ./a.out)
rank 8, test 1, use_barrier 1 time in seconds: 0.223542, (use_barrier: 1, ranks: ./a.out)
rank 8, test 2, use_barrier 0 time in seconds: 0.183668, (use_barrier: 0, ranks: ./a.out)
rank 8, test 2, use_barrier 1 time in seconds: 0.184237, (use_barrier: 1, ranks: ./a.out)
rank 8, test 3, use_barrier 0 time in seconds: 0.229585, (use_barrier: 0, ranks: ./a.out)
rank 8, test 3, use_barrier 1 time in seconds: 0.226026, (use_barrier: 1, ranks: ./a.out)
rank 8, test 4, use_barrier 0 time in seconds: 0.211333, (use_barrier: 0, ranks: ./a.out)
rank 8, test 4, use_barrier 1 time in seconds: 0.228394, (use_barrier: 1, ranks: ./a.out)
rank 8, test 5, use_barrier 0 time in seconds: 0.169657, (use_barrier: 0, ranks: ./a.out)
rank 8, test 5, use_barrier 1 time in seconds: 0.206231, (use_barrier: 1, ranks: ./a.out)
rank 8, test 6, use_barrier 0 time in seconds: 0.259391, (use_barrier: 0, ranks: ./a.out)
rank 8, test 6, use_barrier 1 time in seconds: 0.230885, (use_barrier: 1, ranks: ./a.out)
rank 8, test 7, use_barrier 0 time in seconds: 0.173124, (use_barrier: 0, ranks: ./a.out)
rank 8, test 7, use_barrier 1 time in seconds: 0.241445, (use_barrier: 1, ranks: ./a.out)
rank 16, test 1, use_barrier 0 time in seconds: 0.202959, (use_barrier: 0, ranks: ./a.out)
rank 16, test 1, use_barrier 1 time in seconds: 0.202344, (use_barrier: 1, ranks: ./a.out)
rank 16, test 2, use_barrier 0 time in seconds: 0.248244, (use_barrier: 0, ranks: ./a.out)
rank 16, test 2, use_barrier 1 time in seconds: 0.220803, (use_barrier: 1, ranks: ./a.out)
rank 16, test 3, use_barrier 0 time in seconds: 0.230072, (use_barrier: 0, ranks: ./a.out)
rank 16, test 3, use_barrier 1 time in seconds: 0.184793, (use_barrier: 1, ranks: ./a.out)
rank 16, test 4, use_barrier 0 time in seconds: 0.211139, (use_barrier: 0, ranks: ./a.out)
rank 16, test 4, use_barrier 1 time in seconds: 0.180984, (use_barrier: 1, ranks: ./a.out)
rank 16, test 5, use_barrier 0 time in seconds: 0.230210, (use_barrier: 0, ranks: ./a.out)
rank 16, test 5, use_barrier 1 time in seconds: 0.203326, (use_barrier: 1, ranks: ./a.out)
rank 16, test 6, use_barrier 0 time in seconds: 0.200050, (use_barrier: 0, ranks: ./a.out)
rank 16, test 6, use_barrier 1 time in seconds: 0.211453, (use_barrier: 1, ranks: ./a.out)
rank 16, test 7, use_barrier 0 time in seconds: 0.243479, (use_barrier: 0, ranks: ./a.out)
rank 16, test 7, use_barrier 1 time in seconds: 0.231617, (use_barrier: 1, ranks: ./a.out)
rank 32, test 1, use_barrier 0 time in seconds: 0.199151, (use_barrier: 0, ranks: ./a.out)
rank 32, test 1, use_barrier 1 time in seconds: 0.215576, (use_barrier: 1, ranks: ./a.out)
rank 32, test 2, use_barrier 0 time in seconds: 0.207082, (use_barrier: 0, ranks: ./a.out)
rank 32, test 2, use_barrier 1 time in seconds: 0.179202, (use_barrier: 1, ranks: ./a.out)
rank 32, test 3, use_barrier 0 time in seconds: 0.219687, (use_barrier: 0, ranks: ./a.out)
rank 32, test 3, use_barrier 1 time in seconds: 0.173944, (use_barrier: 1, ranks: ./a.out)
rank 32, test 4, use_barrier 0 time in seconds: 0.211131, (use_barrier: 0, ranks: ./a.out)
rank 32, test 4, use_barrier 1 time in seconds: 0.239166, (use_barrier: 1, ranks: ./a.out)
rank 32, test 5, use_barrier 0 time in seconds: 0.166961, (use_barrier: 0, ranks: ./a.out)
rank 32, test 5, use_barrier 1 time in seconds: 0.220193, (use_barrier: 1, ranks: ./a.out)
rank 32, test 6, use_barrier 0 time in seconds: 0.204687, (use_barrier: 0, ranks: ./a.out)
rank 32, test 6, use_barrier 1 time in seconds: 0.213071, (use_barrier: 1, ranks: ./a.out)
