timestamp: Fri Feb 15 04:00:00 EST 2019
rank,test,barrier,time
32,2,1,0.009612
32,3,0,0.010575
32,3,1,0.008955
32,4,0,0.009481
32,4,1,0.008897
32,5,0,0.008142
32,5,1,0.009478
32,6,0,0.008110
32,6,1,0.008749
32,7,0,0.008077
32,7,1,0.008638
2,1,0,0.086521
2,1,1,0.085110
2,2,0,0.084568
2,2,1,0.090323
2,3,0,0.083000
2,3,1,0.084197
2,4,0,0.082703
2,4,1,0.085392
2,5,0,0.077150
2,5,1,0.087774
2,6,0,0.080065
2,6,1,0.086170
2,7,0,0.085081
2,7,1,0.090211
4,1,0,0.049016
4,1,1,0.042567
4,2,0,0.047573
4,2,1,0.048830
4,3,0,0.051607
4,3,1,0.050725
4,4,0,0.052606
4,4,1,0.053548
4,5,0,0.049483
4,5,1,0.051553
4,6,0,0.054620
4,6,1,0.053562
4,7,0,0.050919
4,7,1,0.053426
8,1,0,0.031214
8,1,1,0.024958
8,2,0,0.028615
8,2,1,0.028252
8,3,0,0.027849
8,3,1,0.027884
8,4,0,0.030570
8,4,1,0.028509
8,5,0,0.024654
8,5,1,0.031632
8,6,0,0.027277
8,6,1,0.029867
8,7,0,0.031390
8,7,1,0.032077
16,1,0,0.016191
16,1,1,0.014399
16,2,0,0.013812
16,2,1,0.014821
16,3,0,0.013937
16,3,1,0.015232
16,4,0,0.014455
16,4,1,0.015596
16,5,0,0.014022
16,5,1,0.014265
16,6,0,0.014486
16,6,1,0.019077
16,7,0,0.015001
16,7,1,0.014990
32,1,0,0.008079
32,1,1,0.008557
32,2,0,0.008228
32,2,1,0.009842
32,3,0,0.008218
32,3,1,0.008637
32,4,0,0.008179
32,4,1,0.009292
32,5,0,0.010982
32,5,1,0.008725
32,6,0,0.009502
32,6,1,0.009309
32,7,0,0.011255
32,7,1,0.010350
2,1,0,0.081650
2,1,1,0.080945
2,2,0,0.095856
2,2,1,0.078995
2,3,0,0.082137
2,3,1,0.084976
2,4,0,0.079168
2,4,1,0.089576
2,5,0,0.084051
2,5,1,0.079687
2,6,0,0.083112
2,6,1,0.088322
2,7,0,0.083412
2,7,1,0.087080
4,1,0,0.053092
4,1,1,0.056025
4,2,0,0.050263
4,2,1,0.049484
4,3,0,0.048694
4,3,1,0.050266
4,4,0,0.047714
4,4,1,0.050835
4,5,0,0.048980
4,5,1,0.049976
4,6,0,0.048630
4,6,1,0.051916
4,7,0,0.045943
4,7,1,0.051372
8,1,0,0.026417
8,1,1,0.028021
8,2,0,0.031076
8,2,1,0.028805
8,3,0,0.029863
8,3,1,0.027960
8,4,0,0.025458
8,4,1,0.027712
8,5,0,0.026928
8,5,1,0.027426
8,6,0,0.026151
8,6,1,0.030262
8,7,0,0.029980
8,7,1,0.026521
16,1,0,0.016113
16,1,1,0.015268
16,2,0,0.013719
16,2,1,0.015748
16,3,0,0.019681
16,3,1,0.014673
16,4,0,0.014388
16,4,1,0.017462
16,5,0,0.014869
16,5,1,0.018694
16,6,0,0.014275
16,6,1,0.016852
16,7,0,0.013618
16,7,1,0.014073
32,1,0,0.008465
32,1,1,0.008557
32,2,0,0.008008
32,2,1,0.010120
32,3,0,0.008218
32,3,1,0.008803
32,4,0,0.008184
32,4,1,0.010579
32,5,0,0.010389
32,5,1,0.008664
32,6,0,0.008163
32,6,1,0.008883
32,7,0,0.010664
32,7,1,0.008740
2,1,0,0.085220
2,1,1,0.090324
2,2,0,0.081936
2,2,1,0.084478
2,3,0,0.083303
2,3,1,0.100437
2,4,0,0.082897
2,4,1,0.092140
2,5,0,0.083979
2,5,1,0.080577
2,6,0,0.084508
2,6,1,0.083247
2,7,0,0.086985
2,7,1,0.088739
4,1,0,0.051074
4,1,1,0.054501
4,2,0,0.049686
4,2,1,0.044229
4,3,0,0.047765
4,3,1,0.052145
4,4,0,0.049211
4,4,1,0.050546
4,5,0,0.040715
4,5,1,0.051401
4,6,0,0.051057
4,6,1,0.042842
4,7,0,0.047475
4,7,1,0.048959
8,1,0,0.028337
8,1,1,0.030581
8,2,0,0.026563
8,2,1,0.026006
8,3,0,0.029063
8,3,1,0.027285
8,4,0,0.024463
8,4,1,0.027048
8,5,0,0.026737
8,5,1,0.027752
8,6,0,0.026524
8,6,1,0.032316
8,7,0,0.028386
8,7,1,0.026962
16,1,0,0.013842
16,1,1,0.015359
16,2,0,0.014211
16,2,1,0.015002
16,3,0,0.013604
16,3,1,0.018012
16,4,0,0.018055
16,4,1,0.014768
16,5,0,0.014363
16,5,1,0.016989
16,6,0,0.014033
16,6,1,0.015503
16,7,0,0.014928
16,7,1,0.015108
32,1,0,0.010592
32,1,1,0.008755
32,2,0,0.008325
32,2,1,0.008862
32,3,0,0.008056
32,3,1,0.009502
32,4,0,0.008136
32,4,1,0.008765
32,5,0,0.008987
32,5,1,0.008705
32,6,0,0.008529
32,6,1,0.009529
32,7,0,0.008784
32,7,1,0.008919
2,1,0,0.088700
2,1,1,0.090537
2,2,0,0.088686
2,2,1,0.086650
2,3,0,0.081414
2,3,1,0.080350
2,4,0,0.082234
2,4,1,0.089628
2,5,0,0.081412
2,5,1,0.078894
2,6,0,0.088395
2,6,1,0.084565
2,7,0,0.082839
2,7,1,0.080566
4,1,0,0.049792
4,1,1,0.051022
4,2,0,0.051247
4,2,1,0.049762
4,3,0,0.049084
4,3,1,0.050930
4,4,0,0.042582
4,4,1,0.051819
4,5,0,0.042670
4,5,1,0.056109
4,6,0,0.041447
4,6,1,0.051164
4,7,0,0.046274
4,7,1,0.049148
8,1,0,0.026497
8,1,1,0.026914
8,2,0,0.025639
8,2,1,0.025984
8,3,0,0.030170
8,3,1,0.027781
8,4,0,0.026002
8,4,1,0.026747
8,5,0,0.029501
8,5,1,0.027389
8,6,0,0.026679
8,6,1,0.027678
8,7,0,0.025778
8,7,1,0.027516
16,1,0,0.014796
16,1,1,0.014396
16,2,0,0.013762
16,2,1,0.014096
16,3,0,0.017549
16,3,1,0.018472
16,4,0,0.013610
16,4,1,0.014112
16,5,0,0.014833
16,5,1,0.015467
16,6,0,0.014507
16,6,1,0.014959
16,7,0,0.013973
16,7,1,0.014943
32,1,0,0.008173
32,1,1,0.010014
32,2,0,0.008276
32,2,1,0.009573
32,3,0,0.009936
32,3,1,0.008967
32,4,0,0.008234
32,4,1,0.008694
32,5,0,0.009473
32,5,1,0.010448
32,6,0,0.008178
32,6,1,0.011985
32,7,0,0.007983
32,7,1,0.009991
