timestamp: Sat Feb 16 07:44:21 EST 201
rank,test,barrier,time
16,2,1,0.082633
16,3,0,0.074188
16,3,1,0.072146
16,4,0,0.082153
16,4,1,0.069403
16,5,0,0.085075
16,5,1,0.061632
16,6,0,0.093579
16,6,1,0.086432
16,7,0,0.072678
16,7,1,0.064203
32,1,0,0.078478
32,1,1,0.081330
32,2,0,0.080797
32,2,1,0.087614
32,3,0,0.087708
32,3,1,0.083339
32,4,0,0.086508
32,4,1,0.078805
32,5,0,0.088479
32,5,1,0.077556
32,6,0,0.077921
32,6,1,0.072529
32,7,0,0.078027
32,7,1,0.079953
1,1,0,0.204754
1,1,1,0.203022
1,2,0,0.207089
1,2,1,0.210697
1,3,0,0.202621
1,3,1,0.210231
1,4,0,0.210796
1,4,1,0.207139
1,5,0,0.207450
1,5,1,0.206360
1,6,0,0.220500
1,6,1,0.204618
1,7,0,0.206651
1,7,1,0.202151
2,1,0,0.136863
2,1,1,0.128170
2,2,0,0.131549
2,2,1,0.133909
2,3,0,0.137057
2,3,1,0.134987
2,4,0,0.137891
2,4,1,0.129593
2,5,0,0.136104
2,5,1,0.126941
2,6,0,0.140462
2,6,1,0.128325
2,7,0,0.148193
2,7,1,0.138481
4,1,0,0.101900
4,1,1,0.102968
4,2,0,0.104666
4,2,1,0.105593
4,3,0,0.104708
4,3,1,0.113236
4,4,0,0.104785
4,4,1,0.100069
4,5,0,0.085355
4,5,1,0.106112
4,6,0,0.106109
4,6,1,0.104573
4,7,0,0.104601
4,7,1,0.107183
8,1,0,0.075398
8,1,1,0.085986
8,2,0,0.087433
8,2,1,0.091924
8,3,0,0.087177
8,3,1,0.081418
8,4,0,0.093738
8,4,1,0.084906
8,5,0,0.090010
8,5,1,0.090873
8,6,0,0.091504
8,6,1,0.091355
8,7,0,0.075314
8,7,1,0.077744
16,1,0,0.075188
16,1,1,0.076905
16,2,0,0.072004
16,2,1,0.084653
16,3,0,0.095594
16,3,1,0.083852
16,4,0,0.083561
16,4,1,0.079645
16,5,0,0.066447
16,5,1,0.088674
16,6,0,0.071903
16,6,1,0.075533
16,7,0,0.089728
16,7,1,0.077394
32,1,0,0.085582
32,1,1,0.068694
32,2,0,0.085993
32,2,1,0.066243
32,3,0,0.067889
32,3,1,0.078469
32,4,0,0.085332
32,4,1,0.087520
32,5,0,0.070276
32,5,1,0.090782
32,6,0,0.085178
32,6,1,0.070871
32,7,0,0.076667
32,7,1,0.072156
1,1,0,0.202868
1,1,1,0.203410
1,2,0,0.206896
1,2,1,0.227636
1,3,0,0.204985
1,3,1,0.202773
1,4,0,0.206489
1,4,1,0.209118
1,5,0,0.205897
1,5,1,0.212268
1,6,0,0.209084
1,6,1,0.208168
1,7,0,0.205177
1,7,1,0.207959
2,1,0,0.137234
2,1,1,0.138451
2,2,0,0.144720
2,2,1,0.138167
2,3,0,0.141652
2,3,1,0.137495
2,4,0,0.139257
2,4,1,0.132317
2,5,0,0.137193
2,5,1,0.132054
2,6,0,0.141366
2,6,1,0.135687
2,7,0,0.135846
2,7,1,0.135745
4,1,0,0.104153
4,1,1,0.109482
4,2,0,0.102559
4,2,1,0.097228
4,3,0,0.103489
4,3,1,0.094939
4,4,0,0.101565
4,4,1,0.087955
4,5,0,0.099008
4,5,1,0.107828
4,6,0,0.103556
4,6,1,0.107103
4,7,0,0.101763
4,7,1,0.096604
8,1,0,0.101029
8,1,1,0.087292
8,2,0,0.080935
8,2,1,0.086886
8,3,0,0.089875
8,3,1,0.085058
8,4,0,0.091112
8,4,1,0.080455
8,5,0,0.088087
8,5,1,0.072960
8,6,0,0.091161
8,6,1,0.092084
8,7,0,0.072374
8,7,1,0.092378
16,1,0,0.072797
16,1,1,0.086129
16,2,0,0.078359
16,2,1,0.076584
16,3,0,0.062440
16,3,1,0.092097
16,4,0,0.079723
16,4,1,0.071378
16,5,0,0.060624
16,5,1,0.096748
16,6,0,0.075414
16,6,1,0.082228
16,7,0,0.079193
16,7,1,0.078521
32,1,0,0.064626
32,1,1,0.077035
32,2,0,0.091433
32,2,1,0.080399
32,3,0,0.066074
32,3,1,0.065913
32,4,0,0.069317
32,4,1,0.072948
32,5,0,0.090361
32,5,1,0.065430
32,6,0,0.075691
32,6,1,0.087306
32,7,0,0.086432
32,7,1,0.073245
1,1,0,0.205100
1,1,1,0.207065
1,2,0,0.203212
1,2,1,0.223485
1,3,0,0.208545
1,3,1,0.207150
1,4,0,0.208730
1,4,1,0.210222
1,5,0,0.206819
1,5,1,0.212718
1,6,0,0.210617
1,6,1,0.209755
1,7,0,0.210742
