timestamp: Fri Feb 15 22:23:29 EST 2019
rank,test,barrier,time
8,2,1,0.229804
8,3,0,0.221988
8,3,1,0.209011
8,4,0,0.223696
8,4,1,0.198625
8,5,0,0.228795
8,5,1,0.203226
8,6,0,0.244861
8,6,1,0.214602
8,7,0,0.230178
8,7,1,0.213558
16,1,0,0.176202
16,1,1,0.190220
16,2,0,0.224649
16,2,1,0.175143
16,3,0,0.210144
16,3,1,0.156391
16,4,0,0.228942
16,4,1,0.215398
16,5,0,0.226452
16,5,1,0.212620
16,6,0,0.245597
16,6,1,0.203586
16,7,0,0.252970
16,7,1,0.246085
32,1,0,0.242902
32,1,1,0.216263
32,2,0,0.192003
32,2,1,0.151454
32,3,0,0.210303
32,3,1,0.226057
32,4,0,0.224721
32,4,1,0.222594
32,5,0,0.192587
32,5,1,0.236265
32,6,0,0.215530
32,6,1,0.252548
32,7,0,0.236468
32,7,1,0.219737
1,1,0,0.302408
1,1,1,0.300141
1,2,0,0.286241
1,2,1,0.288081
1,3,0,0.294854
1,3,1,0.288787
1,4,0,0.290194
1,4,1,0.291584
1,5,0,0.287376
1,5,1,0.287486
1,6,0,0.308390
1,6,1,0.306980
1,7,0,0.297778
1,7,1,0.303442
2,1,0,0.244798
2,1,1,0.243409
2,2,0,0.223174
2,2,1,0.230031
2,3,0,0.222620
2,3,1,0.213711
2,4,0,0.225918
2,4,1,0.237914
2,5,0,0.219028
2,5,1,0.225172
2,6,0,0.255342
2,6,1,0.261736
2,7,0,0.245135
2,7,1,0.243199
4,1,0,0.229127
4,1,1,0.225632
4,2,0,0.211128
4,2,1,0.209563
4,3,0,0.201961
4,3,1,0.207625
4,4,0,0.213159
4,4,1,0.209513
4,5,0,0.189336
4,5,1,0.206839
4,6,0,0.225328
4,6,1,0.218696
4,7,0,0.216143
4,7,1,0.195264
8,1,0,0.221066
8,1,1,0.226528
8,2,0,0.214871
8,2,1,0.249738
8,3,0,0.203589
8,3,1,0.213543
8,4,0,0.239359
8,4,1,0.230000
8,5,0,0.211821
8,5,1,0.180086
8,6,0,0.225297
8,6,1,0.257945
8,7,0,0.173023
8,7,1,0.231748
16,1,0,0.253787
16,1,1,0.212627
16,2,0,0.217803
16,2,1,0.156513
16,3,0,0.179169
16,3,1,0.238119
16,4,0,0.208868
16,4,1,0.200630
16,5,0,0.227430
16,5,1,0.173873
16,6,0,0.243248
16,6,1,0.214821
16,7,0,0.161787
16,7,1,0.227570
32,1,0,0.239312
32,1,1,0.254963
32,2,0,0.206466
32,2,1,0.229275
32,3,0,0.224429
32,3,1,0.170114
32,4,0,0.204332
32,4,1,0.223887
32,5,0,0.200385
32,5,1,0.243274
32,6,0,0.239319
32,6,1,0.245201
32,7,0,0.262286
32,7,1,0.235596
